AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-57,-390,16525,2,-4,2
-16,-383,16538,1,-6,3
-32,-385,16532,1,-7,2
-32,-365,16539,3,-6,1
-34,-383,16525,1,-5,2
-56,-375,16539,1,-4,3
-27,-369,16533,0,-6,2
-44,-383,16514,1,-5,3
-44,-392,16510,0,-7,4
-32,-357,16528,0,-8,2
-45,-390,16528,0,-6,1
-54,-385,16524,0,-6,2
-10,-380,16524,0,-6,0
-28,-374,16523,0,-8,2
-38,-388,16519,2,-6,0
-57,-374,16528,0,-5,0
-34,-375,16528,-1,-7,0
-24,-378,16538,-1,-6,4
-26,-383,16508,0,-5,3
-23,-366,16501,0,-7,2
-42,-373,16525,1,-7,2
-29,-385,16539,-1,-5,2
-46,-380,16530,-1,-7,0
-35,-377,16532,-1,-5,0
-42,-386,16522,0,-7,1
-27,-362,16520,0,-6,2
-35,-379,16523,-1,-5,0
-45,-387,16522,1,-6,3
-44,-400,16513,1,-5,3
-33,-392,16530,-1,-5,2
-44,-388,16505,1,-6,2
-30,-383,16514,0,-5,2
-51,-382,16510,-1,-6,2
-15,-372,16545,-1,-5,2
-22,-380,16542,1,-7,2
-21,-388,16513,0,-7,3
-43,-378,16522,1,-7,1
-40,-373,16540,0,-6,0
-31,-375,16544,0,-5,3
-17,-381,16543,1,-6,0
-24,-382,16517,1,-7,2
-31,-379,16538,0,-5,2
-40,-391,16528,0,-5,1
-27,-374,16523,-1,-7,1
-34,-374,16529,0,-6,1
-24,-365,16520,0,-6,1
-25,-373,16528,0,-5,3
-39,-354,16533,0,-8,1
-31,-388,16524,1,-6,3
-37,-393,16508,-1,-7,0
-47,-389,16527,1,-5,2
-23,-388,16539,-1,-6,2
-21,-378,16536,-1,-6,2
-52,-378,16517,0,-7,2
-50,-403,16502,-2,-4,0
-29,-393,16523,-1,-7,2
-38,-385,16522,-1,-5,2
-33,-393,16517,-1,-5,2
-43,-392,16523,-1,-7,5
-45,-388,16528,0,-6,1
-44,-389,16534,0,-6,1
-37,-381,16533,-1,-7,0
-22,-377,16521,-1,-6,0
-29,-377,16517,-1,-5,2
-28,-380,16540,0,-6,2
-43,-375,16545,-2,-7,-1
-39,-379,16519,2,-7,2
-45,-401,16515,1,-5,1
-37,-396,16515,-1,-5,2
-47,-386,16507,0,-8,2
-32,-382,16533,-2,-6,1
-47,-401,16518,-1,-6,2
-27,-394,16539,0,-7,3
-39,-381,16535,1,-5,2
-36,-388,16511,0,-5,1
-30,-362,16512,-1,-7,1
-30,-381,16530,-2,-6,1
-28,-382,16516,2,-6,1
-36,-388,16515,1,-5,3
-28,-384,16519,2,-7,1
-30,-381,16516,2,-6,3
-33,-356,16519,1,-6,2
-33,-379,16519,0,-7,1
-45,-383,16522,-1,-7,3
-36,-391,16524,1,-7,1
-20,-386,16542,0,-7,0
-33,-380,16527,0,-5,2
-15,-379,16532,0,-6,3
-34,-392,16531,1,-5,2
-32,-370,16528,-1,-5,1
-34,-383,16512,1,-5,0
-40,-385,16516,-1,-6,2
-38,-382,16521,0,-6,1
-31,-369,16537,-1,-6,0
-23,-375,16537,-1,-6,3
-40,-384,16536,0,-7,1
-29,-372,16516,0,-4,1
-31,-371,16512,1,-5,5
-32,-383,16525,1,-7,2
-39,-381,16511,1,-6,1
-59,-400,16526,0,-6,2
-49,-385,16515,0,-6,2
-35,-404,16515,-1,-5,2
-13,-375,16522,0,-6,3
-25,-388,16528,-1,-6,2
-39,-378,16522,0,-5,1
-33,-416,16517,0,-7,3
-30,-381,16531,1,-6,1
-32,-376,16541,-1,-5,2
-24,-376,16531,0,-5,2
-33,-366,16524,0,-6,2
-26,-382,16533,-2,-5,1
-33,-390,16543,-1,-5,0
-29,-382,16513,-1,-5,1
-32,-381,16529,0,-7,0
-15,-368,16524,-2,-5,2
-49,-374,16532,1,-8,0
-43,-377,16523,0,-6,2
-52,-392,16524,-1,-6,2
-51,-394,16515,0,-6,1
-50,-407,16513,-1,-6,1
-30,-379,16525,-1,-6,0
-38,-376,16520,0,-6,3
-18,-386,16525,-1,-6,0
-31,-381,16533,0,-6,3
-57,-371,16524,1,-5,4
-38,-369,16531,-2,-7,2
-36,-389,16521,-2,-7,2
-48,-403,16526,-2,-6,2
-27,-373,16526,2,-6,2
-24,-389,16523,-2,-6,2
-55,-393,16513,1,-7,1
-43,-378,16535,-1,-6,1
-44,-391,16507,0,-7,1
-28,-371,16532,0,-6,1
-37,-383,16514,-1,-7,1
-34,-375,16515,-1,-7,1
-29,-375,16535,0,-8,1
-47,-375,16525,1,-6,1
-23,-378,16519,0,-7,1
-24,-376,16514,-1,-6,2
-32,-396,16529,0,-6,1
-54,-374,16523,-2,-6,3
-26,-379,16528,-2,-6,4
-22,-390,16542,-1,-7,1
-35,-380,16540,0,-6,2
-44,-372,16516,0,-7,2
-28,-383,16503,0,-8,1
-36,-382,16523,-2,-5,1
-42,-393,16501,-2,-6,2
-20,-387,16500,-1,-5,2
-24,-382,16529,-1,-7,2
-33,-401,16524,1,-6,2
-38,-383,16522,-1,-6,0
-31,-397,16519,0,-6,1
-45,-375,16531,-1,-6,0
-22,-389,16538,1,-6,2
-16,-370,16540,1,-6,3
-39,-388,16527,0,-8,1
-39,-388,16523,0,-6,0
-32,-386,16521,1,-7,2
-39,-389,16524,-2,-7,1
-54,-399,16510,0,-6,1
-36,-389,16518,-2,-6,2
-38,-383,16523,0,-5,2
-45,-376,16542,0,-6,2
-40,-390,16516,-2,-6,1
-20,-372,16530,-1,-6,1
-40,-390,16505,0,-7,4
-38,-386,16513,2,-7,1
-38,-391,16508,0,-6,1
-19,-397,16522,-2,-6,1
-20,-393,16520,-1,-6,1
-43,-399,16538,-1,-5,-1
-33,-390,16520,0,-5,2
-34,-375,16540,1,-7,0
-48,-375,16518,1,-7,2
-36,-353,16530,0,-5,2
-33,-377,16542,-1,-7,2
-44,-373,16527,0,-6,3
-25,-377,16532,-2,-6,1
-32,-374,16511,-1,-5,2
-36,-389,16526,-2,-6,2
-47,-388,16536,-2,-4,0
-45,-396,16524,0,-6,1
-57,-379,16519,0,-8,2
-40,-382,16512,0,-5,4
-43,-384,16524,-1,-8,2
-42,-385,16516,0,-6,2
-34,-379,16525,1,-6,1
-28,-407,16524,0,-5,2
-39,-382,16520,-2,-7,1
-36,-377,16531,-1,-5,1
-45,-376,16516,-1,-6,1
-38,-371,16525,-1,-5,1
-42,-400,16523,-3,-6,2
-50,-368,16524,-1,-6,3
-31,-378,16551,0,-6,1
-26,-383,16518,1,-6,0
-39,-405,16513,-1,-5,1
-17,-371,16523,-1,-6,3
-29,-378,16524,-1,-6,2
-21,-364,16514,0,-6,4
-35,-373,16513,-1,-6,3
-27,-389,16523,1,-7,1
-50,-378,16518,0,-6,2
-48,-377,16526,-1,-6,3
-37,-370,16524,0,-6,1
-44,-388,16537,1,-5,2
-36,-376,16528,-3,-6,4
-32,-367,16522,-1,-7,1
-39,-396,16515,0,-6,4
-38,-379,16520,-1,-6,2
-13,-372,16544,-1,-7,0
-24,-390,16521,-1,-7,2
-43,-382,16538,0,-5,1
-44,-374,16523,-2,-7,1
-25,-394,16544,-2,-7,1
-37,-397,16508,-1,-6,1
-33,-371,16524,-1,-7,2
-19,-367,16526,-1,-7,1
-35,-370,16537,1,-6,0
-31,-367,16542,-1,-6,2
-24,-385,16533,0,-5,2
-33,-392,16533,1,-7,1
-24,-375,16536,0,-6,2
-28,-379,16519,0,-7,2
-45,-367,16539,-1,-6,3
-35,-382,16525,-2,-7,2
-38,-360,16532,0,-8,2
-30,-380,16544,-2,-6,2
-11,-375,16540,0,-6,1
-21,-372,16543,-1,-6,2
-29,-389,16533,-2,-6,0
-33,-375,16547,-2,-6,1
-26,-377,16526,-2,-7,1
-31,-382,16539,-1,-6,3
-23,-391,16527,-1,-6,3
-60,-390,16512,2,-6,1
-26,-392,16530,0,-6,1
-27,-361,16517,2,-8,1
-44,-390,16515,1,-4,2
-30,-379,16515,-1,-6,2
-29,-383,16524,1,-7,0
-41,-393,16516,1,-8,1
-53,-373,16525,-2,-7,0
-40,-367,16514,-2,-7,1
-30,-374,16531,-1,-8,1
-39,-385,16514,-2,-7,1
-33,-384,16525,0,-6,1
-41,-399,16526,-1,-6,1
-23,-374,16521,0,-7,2
-24,-379,16533,-1,-7,1
-37,-376,16500,1,-9,2
-39,-387,16529,0,-6,-1
-50,-380,16533,1,-5,2
-33,-365,16525,-3,-7,1
-30,-392,16524,-1,-6,1
-34,-386,16525,-1,-5,0
-30,-381,16535,-1,-6,2
-47,-396,16515,1,-8,2
-42,-368,16541,-3,-7,1
-26,-381,16526,-2,-5,2
-28,-377,16527,-1,-7,2
-37,-378,16539,0,-6,2
-48,-395,16528,0,-5,1
-38,-381,16518,0,-6,1
-27,-376,16529,0,-6,2
-34,-374,16531,0,-8,2
-29,-362,16531,-1,-5,2
-33,-363,16538,-2,-7,3
-45,-384,16518,-1,-6,2
-63,-387,16525,-2,-8,0
-35,-385,16512,0,-7,0
-47,-387,16522,0,-7,1
-29,-381,16537,0,-6,3
-27,-382,16510,0,-6,1
-33,-391,16526,0,-6,3
-21,-372,16528,0,-7,1
-26,-386,16529,0,-7,-1
-27,-396,16530,0,-6,2
-43,-395,16527,0,-7,2
-34,-382,16511,-2,-7,1
-39,-378,16520,0,-8,0
-42,-365,16520,-1,-6,2
-34,-388,16523,1,-7,1
-38,-380,16533,1,-7,3
-39,-387,16527,0,-7,2
-33,-376,16530,0,-8,1
-37,-386,16525,2,-5,2
-31,-383,16523,0,-5,1
-43,-395,16507,-2,-7,-1
-31,-372,16527,0,-8,2
-17,-375,16531,0,-6,1
-24,-357,16535,-2,-6,1
-39,-382,16522,-2,-8,-1
-59,-384,16519,-1,-5,-1
-30,-393,16506,0,-7,1
-32,-386,16516,-2,-5,1
-27,-402,16511,-1,-7,2
-50,-388,16520,-2,-7,0
-39,-385,16551,1,-8,2
-34,-379,16526,0,-6,3
-49,-404,16511,0,-6,2
-36,-387,16521,-1,-6,2
-37,-383,16516,-1,-8,2
-28,-382,16533,-2,-5,1
-17,-379,16526,-1,-6,2
-27,-374,16543,-1,-8,0
-40,-396,16530,1,-8,0
-38,-370,16526,0,-6,4
-30,-370,16531,-1,-5,0
-34,-391,16530,1,-7,1
-28,-379,16527,-3,-5,-1
-37,-371,16531,-1,-9,-1
-28,-371,16523,-4,-6,1
-45,-387,16526,-2,-6,2
-45,-376,16545,-1,-8,2
-44,-366,16536,-2,-7,0
-29,-381,16523,1,-6,2
-34,-384,16531,-3,-5,1
-38,-382,16516,-1,-8,2
-40,-377,16516,-1,-7,0
-15,-366,16529,-1,-8,2
-25,-368,16535,-2,-8,0
-41,-377,16546,-3,-8,1
-42,-392,16529,0,-6,-1
-30,-373,16523,1,-7,2
-43,-366,16525,-2,-8,1
-24,-382,16534,0,-5,2
-8,-375,16533,-1,-7,1
-31,-372,16530,0,-7,2
-30,-369,16540,-1,-6,-1
-36,-360,16544,0,-7,2
-45,-385,16512,0,-6,0
-41,-390,16518,1,-6,1
-58,-384,16522,0,-7,0
-32,-377,16521,0,-6,1
-51,-373,16521,-1,-5,0
-23,-398,16531,-1,-8,1
-46,-371,16527,0,-7,1
-31,-368,16522,0,-6,2
-44,-371,16514,-1,-8,2
-18,-387,16532,-1,-6,0
-38,-384,16507,-1,-6,1
-48,-380,16511,0,-6,3
-41,-383,16516,-1,-7,2
-27,-360,16529,-1,-7,0
-54,-375,16521,-1,-7,2
-39,-398,16523,1,-6,1
-31,-378,16513,0,-8,2
-18,-393,16534,-1,-8,1
-44,-376,16504,0,-6,0
-28,-382,16540,-1,-7,1
-41,-397,16518,-1,-5,2
-54,-401,16517,-1,-6,0
-40,-385,16524,-2,-8,3
-32,-372,16516,-1,-6,1
-40,-384,16534,-1,-6,1
-34,-376,16522,-2,-7,1
-33,-383,16518,0,-6,2
-30,-384,16526,-1,-8,1
-29,-386,16523,-1,-7,0
-46,-383,16522,0,-9,2
-21,-387,16513,1,-5,4
-14,-371,16536,-1,-7,2
-31,-380,16533,0,-6,1
-30,-382,16540,-1,-5,0
-24,-385,16546,-1,-7,1
-50,-378,16529,0,-8,2
-34,-390,16536,1,-6,2
-45,-386,16506,-2,-7,1
-49,-391,16533,-2,-7,0
-38,-400,16537,-1,-5,1
-49,-387,16522,0,-8,3
-28,-372,16524,1,-6,2
-45,-386,16526,-1,-6,2
-26,-371,16521,0,-5,3
-43,-410,16516,0,-8,2
-37,-384,16537,-1,-8,-1
-28,-391,16508,0,-7,0
-54,-372,16519,-3,-8,2
-20,-372,16530,-1,-6,2
-36,-395,16534,0,-5,2
-46,-380,16520,2,-7,0
-37,-404,16531,-1,-6,1
-47,-387,16530,3,-7,1
-52,-375,16517,-1,-6,3
-33,-391,16530,0,-7,2
-27,-388,16536,-1,-7,1
-48,-387,16519,0,-8,2
-48,-384,16510,-1,-8,1
-30,-381,16527,-1,-7,2
-51,-390,16521,-1,-7,0
-44,-393,16529,0,-8,1
-45,-380,16527,-2,-7,1
-44,-391,16520,-1,-8,2
